price,created_on,operation,property_type
0.0,2015-01-20,rent,store
0.0,2015-01-02,rent,store
0.0,2015-01-20,rent,store
0.0,2015-01-13,rent,store
0.0,2015-01-20,rent,store
0.0,2015-01-21,rent,store
0.0,2015-01-05,rent,house
0.0,2015-01-06,rent,house
0.0,2015-01-30,rent,PH
0.0,2015-01-12,rent,house
0.0,2015-01-22,rent,apartment
0.0,2015-01-05,rent,apartment
0.0,2015-01-05,rent,apartment
0.0,2015-01-05,rent,apartment
0.0,2015-01-22,rent,apartment
0.0,2015-01-21,rent,apartment
0.0,2015-01-11,rent,house
0.0,2015-01-22,rent,store
0.0,2015-01-16,rent,apartment
0.0,2015-01-21,rent,store
0.0,2015-01-05,rent,house
0.0,2015-01-05,rent,store
0.0,2015-01-05,rent,store
0.0,2015-01-05,rent,store
0.0,2015-01-13,rent,PH
0.0,2015-01-08,rent,store
0.0,2015-01-03,rent,store
0.0,2015-01-09,rent,house
0.0,2015-01-09,rent,house
0.0,2015-01-09,rent,house
0.0,2015-01-05,rent,house
0.0,2015-01-05,rent,house
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,house
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,house
0.0,2015-01-01,rent,house
0.0,2015-01-01,rent,house
0.0,2015-01-01,rent,apartment
0.0,2015-01-21,rent,house
0.0,2015-01-21,rent,house
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,house
0.0,2015-01-21,rent,apartment
0.0,2015-01-01,rent,house
0.0,2015-01-21,rent,PH
0.0,2015-01-01,rent,apartment
0.0,2015-01-10,rent,house
0.0,2015-01-05,rent,apartment
0.0,2015-01-05,rent,apartment
0.0,2015-01-05,rent,apartment
0.0,2015-01-05,rent,apartment
0.0,2015-01-06,rent,apartment
0.0,2015-01-21,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-24,rent,apartment
0.0,2015-01-22,rent,apartment
0.0,2015-01-21,rent,apartment
0.0,2015-01-14,rent,apartment
0.0,2015-01-09,rent,house
0.0,2015-01-17,rent,apartment
0.0,2015-01-21,rent,apartment
0.0,2015-01-25,rent,apartment
0.0,2015-01-11,rent,apartment
0.0,2015-01-11,rent,apartment
0.0,2015-01-21,rent,house
0.0,2015-01-18,rent,apartment
0.0,2015-01-11,rent,house
0.0,2015-01-11,rent,apartment
0.0,2015-01-11,rent,apartment
0.0,2015-01-05,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-16,rent,house
0.0,2015-01-03,rent,apartment
0.0,2015-01-28,rent,store
0.0,2015-01-21,rent,apartment
0.0,2015-01-21,rent,apartment
0.0,2015-01-11,rent,apartment
0.0,2015-01-11,rent,apartment
0.0,2015-01-14,rent,apartment
0.0,2015-01-03,rent,apartment
0.0,2015-01-09,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-05,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-12,rent,apartment
0.0,2015-01-19,rent,PH
0.0,2015-01-02,rent,apartment
0.0,2015-01-11,rent,apartment
0.0,2015-01-15,rent,house
0.0,2015-01-16,rent,apartment
0.0,2015-01-11,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-21,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-11,rent,apartment
0.0,2015-01-02,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-15,rent,house
0.0,2015-01-01,rent,apartment
0.0,2015-01-01,rent,apartment
0.0,2015-01-06,rent,house
0.0,2015-01-03,rent,store
0.0,2015-01-13,rent,PH
0.0,2015-01-21,rent,house
0.0,2015-01-21,rent,store
500.0,2015-01-15,rent,house
500.0,2015-01-27,rent,apartment
500.0,2015-01-20,rent,house
500.0,2015-01-27,rent,apartment
500.0,2015-01-27,rent,house
500.0,2015-01-27,rent,apartment
500.0,2015-01-23,rent,apartment
500.0,2015-01-24,rent,house
500.0,2015-01-23,rent,house
500.0,2015-01-27,rent,house
500.0,2015-01-23,rent,apartment
500.0,2015-01-20,rent,house
500.0,2015-01-24,rent,house
500.0,2015-01-20,rent,apartment
500.0,2015-01-27,rent,house
500.0,2015-01-20,rent,apartment
500.0,2015-01-24,rent,house
