province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Unknown,United Kingdom,2021-12-23,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-30,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-01-10,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-27,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-02-27,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-02-09,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-07,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-17,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-02-15,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-30,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-17,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-22,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-03,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-04-19,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-05,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-05,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-02-04,,,,0,334,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-20,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-08-14,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-08-12,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-01-29,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-11-12,,,,0,323,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-09-10,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-09-29,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-19,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-12-10,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-12-29,,,,0,326,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-19,,,,0,334,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-20,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-10-19,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-14,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-06-30,,,,115622,0,0,115622,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-22,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-06-12,,,,101335,0,0,101335,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-17,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-07,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-06-17,,,,105958,0,0,105958,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-27,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-08-21,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-06-21,,,,109621,0,0,109621,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-04,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-09,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-06-12,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-30,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-03-10,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-26,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-21,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-06-26,,,,113188,0,0,113188,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-24,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-30,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-07-29,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-17,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-09,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-12-26,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-08-20,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-08-04,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-12-02,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-26,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-02-16,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-09-02,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-26,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-01-02,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-07-25,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-23,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-10-21,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-11-21,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-04-01,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-02-08,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-02-28,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-18,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-11-11,,,,0,323,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-16,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-05-26,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-06,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-11-08,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-08-08,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-02-23,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-01-05,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-04,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-10-16,,,,0,318,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-09-02,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-02-05,,,,0,334,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2021-03-23,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-12-12,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2023-01-27,,,,0,333,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2020-07-07,,,,0,0,0,0,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-06-11,,,,0,0,,,,,"Unknown, United Kingdom"
Unknown,United Kingdom,2022-05-03,,,,0,0,,,,,"Unknown, United Kingdom"
